network_k_10	cluster_num	spectral_clustering	node2vec_64d	node2vec_64d_p1_q2	node2vec_64d_p1_q0.5	node2vec_64d_p2_q1	node2vec_64d_p0.5_q1	node2vec_128d	node2vec_128d_p1_q2	node2vec_128d_p1_q0.5	node2vec_128d_p2_q1	node2vec_128d_p0.5_q1	node2vec_256d	node2vec_256d_p1_q2	node2vec_256d_p1_q0.5	node2vec_256d_p2_q1	node2vec_256d_p0.5_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
network_k_10	10	0.4048906	0.37830480000000005	0.36396819999999996	0.3708282	0.3779308	0.36725979999999997	0.397673	0.3880576	0.37947200000000003	0.38961680000000004	0.3737228	0.4045974	0.406036	0.39701820000000004	0.4030806	0.3871674	0.4080666	0.4006666	0.4070466	0.407576	0.4154588	0.41248120000000005	0.3913328	0.4067488	0.4250876	0.4056388	0.38237340000000003	0.3426424
network_k_10	20	0.4491174	0.3909744	0.40028220000000003	0.40346580000000004	0.4093268	0.3917276	0.41783580000000003	0.4161136	0.40813380000000005	0.41661960000000003	0.3937406	0.4325772	0.4325754	0.41815879999999994	0.423992	0.420462	0.4297251999999999	0.4307322	0.42875620000000003	0.43281179999999997	0.4365804	0.44049360000000004	0.39207139999999996	0.41881060000000003	0.44301140000000006	0.40081239999999996	0.38767340000000006	0.3346424
network_k_10	30	0.4684168000000001	0.41337460000000004	0.41183440000000004	0.415865	0.4303806	0.40292120000000003	0.43297679999999994	0.4333378	0.4267294	0.437143	0.411404	0.4430288	0.44256900000000005	0.42873599999999995	0.4419934	0.4379982	0.4339906	0.43480299999999994	0.4358484000000001	0.44192580000000004	0.45196800000000004	0.4525697999999999	0.40043360000000006	0.42768759999999995	0.4531872	0.3946658	0.3906014	0.3371718
network_k_10	40	0.47543500000000005	0.42286779999999996	0.4296572	0.4250246000000001	0.4389602	0.41975100000000004	0.4440066	0.4467974	0.4405462	0.44824	0.4338818	0.453536	0.4572436	0.4463348	0.45873780000000003	0.4440569999999999	0.43392679999999995	0.4326244	0.4320726	0.448287	0.46330039999999995	0.45958960000000004	0.397063	0.43591199999999997	0.45627020000000007	0.38643019999999995	0.37656219999999996	0.3306174
network_k_10	50	0.48391779999999995	0.435299	0.44490660000000004	0.4348198	0.4497730000000001	0.43547639999999993	0.4504472	0.4610822	0.4508521999999999	0.4580152	0.439574	0.45828100000000005	0.46982920000000006	0.455014	0.4687764	0.4584448	0.43091919999999995	0.43002339999999994	0.4305956	0.45446280000000006	0.4646972	0.46522739999999996	0.40258099999999997	0.44147780000000003	0.46512580000000003	0.38870360000000004	0.3790302	0.3286682
network_k_10	60	0.48624219999999996	0.45408419999999994	0.45488899999999993	0.44736780000000004	0.4578618	0.448046	0.47010520000000006	0.4688856	0.4561604	0.4681588	0.4548724	0.4729888000000001	0.47330360000000005	0.4638672	0.47294600000000003	0.4683642	0.4257508	0.42581119999999995	0.4263732	0.4617862	0.47044300000000006	0.46857340000000003	0.40125299999999997	0.44601140000000006	0.46396620000000005	0.3794282	0.37434939999999994	0.3213002
network_k_10	70	0.48795020000000006	0.46083100000000005	0.46257080000000006	0.45589040000000003	0.4655674	0.4532776	0.4737986	0.4760694	0.4701274	0.4748104000000001	0.4698402	0.477391	0.48099739999999996	0.46995240000000005	0.475401	0.4743074	0.4208348	0.4194028	0.4199654	0.4639362	0.47222280000000005	0.4720528	0.40844579999999997	0.45281080000000007	0.4712734	0.37624979999999997	0.36500839999999996	0.31677099999999997
network_k_10	80	0.4877036	0.4720794	0.472069	0.47204100000000004	0.47747280000000003	0.46420880000000003	0.4795358	0.48170900000000005	0.4787448	0.4812328	0.47616499999999995	0.4825742	0.4835074	0.4809374	0.4812898	0.48187100000000005	0.4125204	0.41237599999999996	0.41435379999999994	0.468576	0.47465919999999995	0.4742972	0.4066552	0.45105019999999996	0.471709	0.3646126	0.3604926	0.3063554
network_k_10	90	0.4829014	0.47496720000000003	0.4758046	0.4796656	0.476495	0.47291059999999996	0.4820572	0.4822382	0.48252039999999996	0.4831624	0.48122319999999996	0.48443819999999993	0.4844685999999999	0.4818448	0.4834532	0.482184	0.4060588	0.4053732	0.4038982	0.46353799999999995	0.4704186	0.46860939999999995	0.400915	0.44699160000000004	0.467624	0.36348079999999994	0.3559322	0.307059
network_k_10	100	0.4749932	0.4748848	0.47065920000000006	0.47559959999999996	0.47533660000000005	0.47455400000000003	0.4757066	0.4743278	0.4733366	0.47529079999999996	0.4755808	0.476924	0.4763864000000001	0.47476699999999994	0.4769084	0.47476959999999996	0.4015974	0.4000138	0.39951939999999997	0.45521900000000004	0.45946420000000004	0.4617002	0.38907040000000004	0.440636	0.4619999999999999	0.36242079999999993	0.348717	0.2983714
