network_k_10	cluster_num	spectral_clustering	node2vec_64d	node2vec_64d_p1_q2	node2vec_64d_p1_q0.5	node2vec_64d_p2_q1	node2vec_64d_p0.5_q1	node2vec_128d	node2vec_128d_p1_q2	node2vec_128d_p1_q0.5	node2vec_128d_p2_q1	node2vec_128d_p0.5_q1	node2vec_256d	node2vec_256d_p1_q2	node2vec_256d_p1_q0.5	node2vec_256d_p2_q1	node2vec_256d_p0.5_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
network_k_25	40	0.9672939999999999	0.9660812	0.9666066000000001	0.9684718	0.9679914000000001	0.9687578	0.9685587999999999	0.9690548000000001	0.9705465999999999	0.9694993999999999	0.9677706	0.968413	0.9695706000000002	0.9686326	0.971417	0.9698138000000001	0.26915039999999996	0.27329159999999997	0.2731806	0.9642722000000001	0.9712350000000001	0.34505820000000004	0.7751986	0.9625964	0.9701907999999999	0.4921912	0.4863728	0.4389748
network_k_25	50	0.9293984	0.9286456000000001	0.9291888	0.9313359999999999	0.9295715999999998	0.929928	0.9315272	0.9317057999999999	0.932086	0.9323271999999999	0.9298132000000001	0.9335454000000001	0.9301782	0.9340019999999999	0.9324716000000001	0.9314823999999999	0.2754254	0.27270479999999997	0.2765068	0.9324280000000001	0.9313882	0.333128	0.7486246	0.9226548000000001	0.9319596000000001	0.49305439999999995	0.48795580000000005	0.4303310000000001
network_k_25	60	0.897712	0.8978211999999999	0.8993310000000001	0.8983586000000001	0.89948	0.8981297999999999	0.9020422	0.9002348000000001	0.9029336000000001	0.9033344	0.8991458	0.9009674000000001	0.9033157999999999	0.901777	0.9038827999999999	0.9021964	0.2793176	0.279281	0.279561	0.8985373999999998	0.9026408	0.322121	0.7223226	0.8948214	0.8991706	0.486382	0.48544099999999996	0.44388379999999994
network_k_25	70	0.8648646	0.8686539999999999	0.8687661999999999	0.8726684	0.8724926	0.8722413999999998	0.8763832	0.8766822	0.8770818	0.8759674000000001	0.8751604000000001	0.8767066	0.8749574000000001	0.8771351999999999	0.8776206	0.8756504000000002	0.28209680000000004	0.2810508	0.281201	0.8744502000000001	0.8748666	0.314161	0.6988608000000001	0.8666558	0.8702788	0.47884460000000006	0.4703436	0.4312984
network_k_25	80	0.8394223999999999	0.8453638	0.8453658000000001	0.84982	0.8489232000000001	0.8462316	0.8530656000000001	0.8499642	0.8515917999999999	0.8557222	0.8494866	0.8533225999999999	0.8517946000000001	0.853805	0.8539580000000001	0.8520336000000001	0.2805028	0.2795574	0.2842982	0.8538396	0.8519057999999999	0.30350619999999995	0.6781501999999999	0.8452778000000001	0.8471138	0.47694200000000003	0.47402299999999997	0.41500820000000005
network_k_25	90	0.801611	0.8234762	0.8248999999999999	0.8245352	0.8245036000000001	0.8254265999999999	0.8277882	0.8318709999999999	0.8296083999999999	0.8325424	0.827023	0.832914	0.8301529999999999	0.8302704000000001	0.8321452	0.8279681999999999	0.27890099999999995	0.281688	0.278542	0.8291946000000001	0.8319217999999999	0.2982432	0.6694	0.8244738	0.8289821999999999	0.4583723999999999	0.4755193999999999	0.423668
network_k_25	100	0.7649224000000001	0.8014572	0.8053270000000001	0.8035479999999999	0.8074574	0.805381	0.8117842	0.8066262	0.8120886	0.8150168000000001	0.807846	0.8129128	0.812693	0.8109468	0.810139	0.8104596000000001	0.2797634	0.2785966	0.27952319999999997	0.8085488	0.8121791999999999	0.2895586	0.6507186	0.8061302000000001	0.8088783999999999	0.4547866	0.4650754	0.40925120000000004

network_k_50	cluster_num	spectral_clustering	node2vec_64d	node2vec_64d_p1_q2	node2vec_64d_p1_q0.5	node2vec_64d_p2_q1	node2vec_64d_p0.5_q1	node2vec_128d	node2vec_128d_p1_q2	node2vec_128d_p1_q0.5	node2vec_128d_p2_q1	node2vec_128d_p0.5_q1	node2vec_256d	node2vec_256d_p1_q2	node2vec_256d_p1_q0.5	node2vec_256d_p2_q1	node2vec_256d_p0.5_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
network_k_50	10	0.8457944000000002	0.8260499999999998	0.8411291999999999	0.8495629999999998	0.8406518000000001	0.843549	0.8351673999999999	0.8376998	0.8394345999999999	0.8401308000000001	0.847636	0.8376992	0.8386202	0.8447747999999999	0.8421308	0.8426614000000001	0.23512460000000002	0.23440279999999997	0.23439140000000003	0.7991034	0.789599	0.7810048	0.5349204	0.8210265999999999	0.8548726	0.5076994	0.5333086	0.5032344
network_k_50	20	0.9880928000000001	0.9880422	0.9879966	0.9871359999999999	0.98735	0.9876598	0.9876908	0.9883594	0.987658	0.9881722	0.9881082000000001	0.987922	0.9890966000000001	0.9882313999999999	0.9882496	0.9872308000000001	0.28353520000000004	0.282221	0.2830014	0.9883138	0.9902734000000001	0.9899929999999999	0.560675	0.8297166	0.9605406000000001	0.5762544	0.6338426	0.5995851999999999
network_k_50	30	0.9194306000000001	0.9224828	0.9223609999999999	0.9214036	0.9233167999999999	0.9235118	0.9247918	0.9251676	0.9242338	0.9231300000000001	0.9245490000000001	0.9234707999999999	0.9241361999999999	0.9226532000000001	0.9235123999999999	0.9236338	0.3036086	0.30461340000000003	0.3013744	0.926033	0.9262262	0.9251148	0.5824043999999999	0.7749744	0.8966078	0.5779322	0.6264434000000001	0.5933428000000001
network_k_50	40	0.8725837999999999	0.876117	0.8779482	0.8762688000000001	0.8771708	0.8756378	0.8770754000000001	0.8782558	0.876186	0.876769	0.8798142	0.877616	0.8790454000000001	0.8763515999999999	0.8779854	0.8785918	0.3064406	0.30661800000000006	0.3086026	0.8783428000000001	0.88006	0.8775147999999999	0.5814935999999999	0.738944	0.851053	0.5658412	0.6192836	0.5949829999999999
network_k_50	50	0.8379838	0.8414904	0.8422354000000001	0.8391377999999999	0.8393922	0.8376428	0.8393206	0.8425732	0.8377314	0.8388959999999999	0.8397022	0.8397828	0.8430025999999999	0.8393662000000001	0.8396984	0.8411975999999999	0.312107	0.31173600000000007	0.311194	0.8419323999999999	0.8398894	0.8429088	0.5798108000000001	0.704399	0.8144705999999999	0.549811	0.610254	0.5909570000000001
network_k_50	60	0.8032866000000001	0.8085804	0.8121349999999999	0.8074394	0.8076525999999999	0.8090308	0.8087538000000001	0.8124396	0.8087194	0.8065032000000001	0.8096812	0.8100286000000001	0.811172	0.8082832	0.8090662	0.8105758	0.31082160000000003	0.31173399999999996	0.3093186	0.8122536	0.8116942	0.8099079999999999	0.570756	0.6838992	0.7878996	0.5503302000000001	0.594099	0.594233
network_k_50	70	0.7694694	0.781701	0.7856093999999999	0.7809796	0.7818402000000001	0.7810914	0.7813146	0.7848856	0.7798396	0.7823168	0.782212	0.7833126	0.7872273999999999	0.7794131999999999	0.7833340000000001	0.78382	0.3064022	0.3034132	0.3023668	0.7868419999999999	0.7851502	0.7856004000000001	0.5571694	0.6592484000000001	0.7621716000000001	0.5350934	0.5764324000000001	0.5771876
network_k_50	80	0.7334212	0.7575818	0.7607392000000001	0.7564946000000001	0.7589424	0.7572699999999999	0.7602894	0.7621262	0.7573597999999999	0.7565346	0.7610386	0.7594579999999999	0.7608486	0.758629	0.7597647999999999	0.7606334	0.295458	0.29715539999999996	0.2984162	0.7642985999999999	0.7619846000000001	0.7657504	0.5511864	0.6396856000000001	0.7411476	0.5224542	0.5665234	0.5721394
network_k_50	90	0.6954947999999999	0.7350868	0.7368547999999999	0.7347911999999999	0.7348420000000001	0.7380604	0.7372198	0.7427848	0.7361028000000001	0.7364571999999999	0.7375164000000001	0.7389968	0.7422985999999999	0.7374694	0.7376654	0.738369	0.29001400000000005	0.2873446	0.2867394	0.7446591999999999	0.7417488000000001	0.7425366	0.5469646	0.622685	0.7231128	0.5106214	0.5561728	0.5495865999999999
network_k_50	100	0.648749	0.7159783999999999	0.7197161999999999	0.7136732	0.716805	0.7166146	0.7175032	0.7218022	0.7158158	0.7165744000000001	0.7155376	0.719803	0.7221485999999999	0.7174845999999999	0.7196102	0.7182109999999999	0.2748343999999999	0.2786218	0.279585	0.7242276000000001	0.725712	0.7229747999999999	0.5331594000000001	0.6056654	0.7020344	0.5089946000000001	0.5371931999999999	0.5641022

network_k_100	cluster_num	spectral_clustering	node2vec_64d	node2vec_64d_p1_q2	node2vec_64d_p1_q0.5	node2vec_64d_p2_q1	node2vec_64d_p0.5_q1	node2vec_128d	node2vec_128d_p1_q2	node2vec_128d_p1_q0.5	node2vec_128d_p2_q1	node2vec_128d_p0.5_q1	node2vec_256d	node2vec_256d_p1_q2	node2vec_256d_p1_q0.5	node2vec_256d_p2_q1	node2vec_256d_p0.5_q1	DeepWalk_64d	DeepWalk_128d	DeepWalk_256d	GAE_64d	GAE_128d	GAE_256d	VGAE_64d	VGAE_128d	VGAE_256d	Graphsage_64d	Graphsage_128d	Graphsage_256d
network_k_100	10	0.9886226	0.9872043999999999	0.9886324	0.9873358	0.9875700000000001	0.9872831999999999	0.9876737999999999	0.9885740000000001	0.9880766	0.9872859999999999	0.987236	0.9873356000000001	0.9876718	0.9872254	0.9874288	0.9872299999999999	0.19764	0.199644	0.1982988	0.987472	0.9875605999999999	0.9873148	0.4443474	0.7628329999999999	0.8870370000000001	0.3708306	0.5276881999999999	0.49156320000000003
network_k_100	20	0.8574577999999999	0.8562892	0.8573568	0.8590996000000001	0.8561525999999999	0.8567762	0.8588380000000001	0.8572105999999999	0.8573138	0.8540966000000001	0.8599574000000001	0.8572382	0.8577926000000001	0.8550367999999999	0.8576758	0.8558342	0.2285434	0.2261196	0.2286226	0.8576406000000001	0.8563216	0.8565722000000001	0.5133449999999999	0.8019824	0.8454362000000002	0.3964784	0.5275474	0.5115375999999999
network_k_100	30	0.7904566	0.7873758	0.7882123999999999	0.7875048	0.7886302	0.7898484	0.7899756	0.7889868	0.7886176	0.7891722000000001	0.788857	0.7896484	0.7908769999999999	0.7892549999999999	0.788189	0.7887506	0.2336204	0.23489459999999998	0.233928	0.7888774	0.7885753999999999	0.7915478	0.5145008	0.7500859999999999	0.7839264	0.392047	0.509354	0.5029134
network_k_100	40	0.7443938	0.7436849999999999	0.7452422000000001	0.7434524	0.7431956000000002	0.7435674	0.7439934	0.7443666	0.7443761999999999	0.7436784	0.7448754	0.7435470000000001	0.7441343999999999	0.7446499999999999	0.7444854	0.7460716000000001	0.23035060000000002	0.2295442	0.23206000000000002	0.7442371999999999	0.7456582	0.7456114	0.4985645999999999	0.7117992	0.7438048	0.38189680000000004	0.4891323999999999	0.4963086
network_k_100	50	0.7018186	0.7098243999999999	0.7115334	0.7094931999999999	0.710115	0.7100874	0.7090318	0.7112641999999999	0.708822	0.7106071999999999	0.7104039999999999	0.7111335999999999	0.710457	0.7105203999999999	0.7104226	0.7104618	0.2196588	0.21764999999999998	0.22216739999999996	0.7130738	0.7118630000000001	0.7117190000000001	0.4896158	0.6832108	0.7134560000000001	0.3752256	0.4805748	0.474343
network_k_100	60	0.6553558	0.6815284	0.684393	0.6821566	0.6818174000000001	0.682688	0.6836672	0.6840718000000001	0.682009	0.6824855999999999	0.6826358000000001	0.6839826	0.6839722	0.6828095999999999	0.6834652	0.6823724	0.20840540000000002	0.21047880000000002	0.20903199999999997	0.6844020000000001	0.6862678	0.6860964	0.47898959999999996	0.6576297999999999	0.6845336	0.36941959999999996	0.48204480000000005	0.4893706
network_k_100	70	0.5951126	0.6595956000000001	0.6596323999999999	0.659837	0.6589848	0.6587718	0.6589836	0.6604926	0.658242	0.6593782	0.659919	0.661048	0.6602806	0.6600687999999999	0.6605722	0.6602976	0.20320979999999994	0.2033538	0.20125320000000002	0.6615914	0.6645986	0.6632492000000001	0.46961200000000003	0.6367418	0.6648756	0.3579076	0.4650142	0.4694528
network_k_100	80	0.5225476	0.6380663999999999	0.6397948	0.6378195999999999	0.637537	0.639158	0.6386592	0.6393692	0.638017	0.6374822	0.6380434	0.6385134	0.6407719999999999	0.6390964	0.6392186	0.6390138	0.19509739999999998	0.194677	0.1951884	0.6426373999999999	0.644142	0.6413934	0.47216800000000003	0.6174046	0.6417318000000001	0.3520256	0.45603160000000004	0.45720799999999995
network_k_100	90	0.4453626	0.619916	0.620887	0.6198319999999999	0.6193304	0.6200948000000001	0.6195603999999999	0.6217864	0.6193215999999999	0.6200514	0.6213857999999999	0.6213919999999999	0.6223297999999999	0.6202947999999999	0.6202242	0.6215522	0.1885652	0.19107860000000002	0.18752799999999997	0.6246561999999999	0.6268604	0.6249568	0.4632868	0.6002264	0.6250418	0.3505892	0.4459942	0.45298000000000005
network_k_100	100	0.3791892	0.602173	0.6035986	0.6028249999999999	0.6031878	0.6044672	0.603486	0.6050934	0.602172	0.6027924	0.603085	0.6048684	0.6038072000000001	0.6039282000000001	0.6049673999999999	0.6038716000000001	0.18506460000000002	0.18787920000000002	0.1843454	0.6091865999999999	0.6114048	0.6105662	0.45859179999999994	0.5868154000000001	0.6097442	0.339464	0.43695399999999995	0.4447112

